HS2002,SITCR2
392063,58232
392069,58232
392071,5841
392072,58493
392073,58432
392079,58492
392091,5839
392092,58242
392093,58222
392094,58212
392099,5839
392111,58333
392112,58343
392113,58259
392114,5841
392119,5839
392190,58212
392210,8932
392220,8932
392290,8932
392310,8931
392321,8931
392329,8931
392330,8931
392340,8931
392350,8931
392390,8931
392410,89399
392490,89399
392510,89399
392520,89399
392530,89393
392590,89399
392610,89394
392620,84821
392630,89399
392640,8933
392690,89399
400110,23201
400121,23202
400122,23202
400129,23202
400130,23203
400211,23311
400219,23315
400220,23313
400231,23316
400239,23316
400241,23312
400249,23314
400251,23312
400259,23319
400260,23319
400270,23319
400280,23201
400291,23312
400299,23319
400300,23321
400400,23322
400510,62101
400520,62102
400591,62101
400599,62101
400610,62102
400690,62102
400700,62103
400811,62104
400819,62104
400821,62104
400829,62104
400911,62105
400912,62105
400921,62105
400922,62105
400931,62105
400932,62105
400941,62105
400942,62105
401011,6282
401012,6282
401013,6282
401019,6282
401031,6282
401032,6282
401033,6282
401034,6282
401035,6282
401036,6282
401039,6282
401110,6251
401120,6252
401130,6253
401140,6254
401150,6254
401161,62599
401162,62599
401163,62599
401169,62599
401192,62599
401193,62599
401194,62599
401199,62599
401211,62599
401212,62599
401213,62599
401219,62599
401220,62599
401290,62599
401310,62591
401320,62591
401390,62591
401410,6281
401490,6281
401511,84822
401519,84822
401590,84822
401610,62898
401691,62898
401692,62898
401693,62898
401694,62898
401695,62898
401699,62898
401700,62899
410120,2112
410150,2111
410190,2111
410210,2116
410221,2117
410229,2117
410310,2114
410320,21199
410330,21199
410390,21199
410411,6114
410419,6114
410441,6114
410449,6114
410510,6115
410530,6115
410621,61161
410622,61161
410631,61169
410632,61169
410640,61169
410691,61169
410692,61169
410711,6114
410712,6114
410719,6114
410791,6114
410792,6114
410799,6114
411200,6115
411310,61161
411320,61169
411330,61169
411390,61169
411410,61181
411420,61183
411510,6112
411520,21191
420100,6122
420211,83102
420212,83102
420219,83102
420221,83101
420222,83101
420229,83101
420231,83109
420232,83109
420239,83109
420291,83109
420292,83109
420299,83109
420310,8481
420321,8481
420329,8481
420330,8481
420340,8481
420400,6121
420500,6129
420610,89991
420690,89991
430110,21201
430130,21209
430160,21209
430170,21209
430180,21209
430190,21209
430211,6130
430213,6130
430219,6130
430220,6130
430230,6130
430310,84831
430390,84831
430400,84832
440110,24501
440121,24602
440122,24602
440130,24603
440200,24502
440310,2479
440320,24711
440341,24721
440349,24721
440391,24721
440392,24721
440399,24721
440410,63491
440420,63491
440500,63493
440610,2481
440690,2481
440710,24821
440724,24831
440725,24831
440726,24831
440729,24831
440791,24831
440792,24831
440799,24831
440810,6341
440831,6341
440839,6341
440890,6341
440910,24822
440920,24832
441021,63432
441029,63432
441031,63432
441032,63432
441033,63432
441039,63432
441090,63432
441111,64161
441119,64161
441121,64162
441129,64162
441131,64162
441139,64162
441191,64162
441199,64162
441213,6342
441214,6342
441219,6342
441222,63441
441223,63441
441229,63441
441292,63441
441293,63441
441299,63441
441300,63431
441400,63541
441510,6351
441520,63599
441600,6352
441700,63591
441810,6353
441820,6353
441830,6353
441840,6353
441850,63599
441890,6353
441900,63542
442010,63549
442090,63549
442110,63599
442190,63599
450110,24401
450190,24401
450200,24402
450310,63301
450390,63301
450410,63302
450490,63302
460120,6597
460191,6597
460199,6597
460210,89971
460290,89971
470100,2512
470200,2516
470311,25171
470319,25171
470321,25172
470329,25172
470411,25181
470419,25181
470421,25182
470429,25182
470500,25191
470610,25192
470620,25192
470691,25192
470692,25192
470693,25192
470710,2511
470720,2511
470730,2511
470790,2511
480100,6411
480210,64121
480220,64159
480230,64159
480240,64159
480254,64159
480255,64159
480256,64159
480257,64159
480258,64139
480261,641
480262,641
480269,64159
480300,64172
480411,64131
480419,64131
480421,64132
480429,64132
480431,64139
480439,64139
480441,64139
480442,64139
480449,64139
480451,64139
480452,64139
480459,64139
480511,64151
480512,641
480519,641
480524,64159
480525,64159
480530,64152
480540,64159
480550,64159
480591,64159
480592,64159
480593,64159
480610,64153
480620,64153
480630,64153
480640,64153
480700,64192
480810,64174
480820,64171
480830,64171
480890,64174
480910,64189
480920,64189
480990,64189
481013,641
481014,641
481019,641
481022,64122
481029,64122
481031,64189
481032,64189
481039,64181
481092,64189
481099,64189
481110,64182
481141,64189
481149,64189
481151,64181
481159,64181
481160,64189
481190,64189
481200,64196
481310,64241
481320,64241
481390,64159
481410,64197
481420,64197
481430,64197
481490,64197
481500,65911
481610,64242
481620,64242
481630,64242
481690,64242
481710,6422
481720,6422
481730,6422
481810,64243
481820,64284
481830,64284
481840,64285
481850,64284
481890,64284
481910,6421
481920,6421
481930,6421
481940,6421
481950,6421
481960,6421
482010,6423
482020,6423
482030,6423
482040,6423
482050,6423
482090,6423
482110,89281
482190,89281
482210,64281
482290,64281
482312,64244
482319,64244
482320,64249
482340,64289
482360,64283
482370,64289
482390,64289
490110,89211
490191,89211
490199,89211
490210,8922
490290,8922
490300,89212
490400,89285
490510,89213
490591,89213
490599,89213
490600,89282
490700,89283
490810,89241
490890,89241
490900,89242
491000,89284
491110,89286
491191,89289
491199,89289
500100,26141
500200,2613
500310,26142
500390,26142
500400,65111
500500,65116
500600,65117
500710,6541
500720,6541
500790,6541
510111,2681
510119,2681
510121,2682
510129,2682
510130,2682
510211,2683
510219,2683
510220,26859
510310,26861
510320,26861
510330,26861
510400,26862
510510,2687
510521,2687
510529,65121
510531,2687
510539,2687
510540,2687
510610,65122
510620,65127
510710,65123
510720,65128
510810,65124
510820,65124
510910,65126
510990,65129
511000,65125
511111,65421
511119,65421
511120,65431
511130,65432
511190,65433
511211,65422
511219,65422
511220,65431
511230,65432
511290,65433
511300,65492
520100,2631
520210,2633
520291,2633
520299,2633
520300,2634
520411,65133
520419,65133
520420,65135
520511,65131
520512,65132
520513,65133
520514,65133
520515,65134
520521,65131
520522,65132
520523,65133
520524,65133
520526,65134
520527,65134
520528,65134
520531,65131
520532,65132
520533,65133
520534,65133
520535,65134
520541,65131
520542,65132
520543,65133
520544,65133
520546,65134
520547,65134
520548,65134
520611,65131
520612,65132
520613,65133
520614,65133
520615,65134
520621,65131
520622,65132
520623,65133
520624,65133
520625,65134
520631,65131
520632,65132
520633,65133
520634,65133
520635,65134
520641,65131
520642,65132
520643,65133
520644,65133
520645,65134
520710,65135
520790,65135
520811,65214
520812,65214
520813,65214
520819,65214
520821,65224
520822,65224
520823,65224
520829,65224
520831,65224
